P (GPa),T (K),boundary,reference
0.356263577,253.25982306284317,alpha/liquid,Bridgman1911
0.547429399,262.8693410616229,alpha/liquid,Bridgman1911
1.003620565,284.83395363026233,alpha/liquid,Bridgman1911
1.073135409,288.95231848688223,alpha/liquid,Bridgman1911
1.107892831,291.42333740085417,alpha/liquid,Bridgman1911
1.378,193.33868999999999,beta/alpha,Bridgman1935
1.996,230.13741999999996,beta/alpha,Bridgman1935
2.799,272.04638,beta/alpha,Bridgman1935
3.4699,294.19137,beta/alpha,Bridgman1935
0.3955,253.69273,alpha/liquid,Zhokovskii1955
0.5998,263.94432,alpha/liquid,Zhokovskii1955
0.749,272.75835,alpha/liquid,Zhokovskii1955
0.8332,276.39796,alpha/liquid,Zhokovskii1955
0.8673,277.68184,alpha/liquid,Zhokovskii1955
0.9264,281.17944,alpha/liquid,Zhokovskii1955
1.2072,294.75355,alpha/liquid,Zhokovskii1957
1.4479,306.20343,alpha/liquid,Zhokovskii1957
1.5308,311.1347,alpha/liquid,Zhokovskii1957
1.6279,315.46682,alpha/liquid,Zhokovskii1957
1.6634,317.38291,alpha/liquid,Zhokovskii1957
1.7277,320.7424,alpha/liquid,Zhokovskii1957
1.7728,322.73241,alpha/liquid,Zhokovskii1957
1.8787,327.43998,alpha/liquid,Zhokovskii1957
1.9195,329.79181,alpha/liquid,Zhokovskii1957
1.9932,333.46643,alpha/liquid,Zhokovskii1957
2.0384,335.53815,alpha/liquid,Zhokovskii1957
0.14,99.20304,beta/alpha,Swenson1958
0.2269,108.8302,beta/alpha,Swenson1958
0.3733,125.53231,beta/alpha,Swenson1958
0.4235,133.36203,beta/alpha,Swenson1958
0.5023,139.01111,beta/alpha,Swenson1958
0.654,152.9665,beta/alpha,Swenson1958
0.9913,179.48446,beta/alpha,Swenson1958
1.0618,185.87079,beta/alpha,Swenson1958
1.26,198.76211,beta/alpha,Swenson1958
2.9629,275.48757,beta/alpha,Klement1963
3.0473,280.22431,beta/alpha,Klement1963
3.5371,295.19513,beta/alpha,Klement1963
3.7103,304.30484,beta/alpha,Klement1963
3.8035,309.37228,beta/alpha,Klement1963
3.7974,304.62387,beta/alpha,Klement1963
3.8729,309.74966,beta/alpha,Klement1963
3.9297,312.43608,beta/alpha,Klement1963
4.0632,312.05676,beta/alpha,Klement1963
4.1666,317.17866,beta/alpha,Klement1963
4.3033,317.23313,beta/alpha,Klement1963
4.3039,321.03808,beta/alpha,Klement1963
4.439,320.12769,beta/alpha,Klement1963
4.9543,334.35737,beta/alpha,Klement1963
5.7645,342.48472,beta/alpha,Klement1963
5.8041,344.22768,beta/alpha,Klement1963
6.0469,351.47966,beta/alpha,Klement1963
6.0869,351.98543,beta/alpha,Klement1963
6.3025,352.00099,beta/alpha,Klement1963
6.3342,357.13262,beta/alpha,Klement1963
6.5641,356.49457,beta/alpha,Klement1963
1.5543,312.04119,alpha/liquid,Klement1963
1.6942,318.22522,alpha/liquid,Klement1963
1.8189,324.4462,alpha/liquid,Klement1963
1.9626,330.42013,alpha/liquid,Klement1963
1.9559,332.99178,alpha/liquid,Klement1963
2.0892,338.10202,alpha/liquid,Klement1963
2.2294,344.43583,alpha/liquid,Klement1963
2.3624,351.3182,alpha/liquid,Klement1963
2.3965,352.57679,alpha/liquid,Klement1963
2.5151,359.7568,alpha/liquid,Klement1963
2.5909,361.41417,alpha/liquid,Klement1963
2.7477,372.20654,alpha/liquid,Klement1963
2.8695,375.12251,alpha/liquid,Klement1963
2.9357,381.0731,alpha/liquid,Klement1963
3.0105,383.26347,alpha/liquid,Klement1963
3.1452,387.36605,alpha/liquid,Klement1963
3.2997,393.38278,alpha/liquid,Klement1963
3.3936,399.74966,alpha/liquid,Klement1963
3.5383,402.08205,alpha/liquid,Klement1963
3.6625,409.10059,alpha/liquid,Klement1963
3.8144,412.14883,alpha/liquid,Klement1963
3.9391,421.15156,alpha/liquid,Klement1963
4.0694,421.79155,alpha/liquid,Klement1963
4.1813,431.10357,alpha/liquid,Klement1963
4.8664,446.68521,alpha/liquid,Klement1963
4.9596,454.89037,alpha/liquid,Klement1963
5.2687,459.53957,alpha/liquid,Klement1963
5.684,475.50443,alpha/liquid,Klement1963
5.7192,479.10513,alpha/liquid,Klement1963
5.7707,479.35218,alpha/liquid,Klement1963
5.9446,483.86132,alpha/liquid,Klement1963
6.0762,491.36424,alpha/liquid,Klement1963
6.2357,494.85406,alpha/liquid,Klement1963
6.3153,501.59248,alpha/liquid,Klement1963
6.3538,501.6878,alpha/liquid,Klement1963
6.491,504.92474,alpha/liquid,Klement1963
6.5754,504.87805,alpha/liquid,Klement1963
6.761,518.75757,alpha/liquid,Klement1963